APOYOS OTORGADOS A ORGANIZACIONES DE LA SOCIEDAD CIVIL,,,,
MONTOS OTORGADOS EN 2016,,,,
Num.,Organizacion,Proyecto,Estado,Monto otorgado
1,"Abrazos Fraternos, A.C.

","Proyecto para impulsar acciones para la prevencion de las adicciones en ninos (as), adolescentes y jovenes de 1o a 3o de secundaria, en barrios y colonias de la delegacion Magdalena Contreras.",Ciudad de Mexico,95000
2,"Agrupacion George Papanicolaou de Navojoa, I.A.P.","Prevencion de Cancer de Mama, Cervico-Uterino y Tratamientos Oncologicos a Enfermos de Cancer en el Municipio de Navojoa, Sonora.",Sonora ,144615
3,"Asociacion Mexicana de Enfermedad de Huntington, I.A.P",Centro de atencion diurno para pacientes con la enfermedad de Huntington.,Ciudad de Mexico,127541
4,"Asociacion Pro-Formacion y Orientacion de la Mujer, I.A.P.","Jornadas medicas, salud bucal y nutricion a las familias jornaleras agricolas migrantes.",Sinaloa,163000
5,"Asociacion Sinaloense de Autismo, I.A.P.","Terapias de modificacion de conducta y lenguaje a ninos y jovenes con autismo, para lograr su inclusion a la sociedad en Sinaloa.",Sinaloa,153100
6,"Cambiando Una Vida, A.C.",Detectando y atendiendo los casos de malformaciones congenitas que originan discapacidades en el Estado de Aguascalientes.,Aguascalientes ,208000
7,"Centro de Atencion Integral, I.A.P.",Por una verdadera inclusion de las personas con alguna discapacidad.,Sonora ,62673
8,"Centros de Prevencion Comunitaria Reintegra, I.A.P.","Prevencion de adicciones en ninas, ninos y adolescentes en situacion de riesgo psicosocial de la Colonia Guerrero y del Barrio de la Lagunilla.",Ciudad de Mexico,77500
9,"Clinica de Rehabilitacion Integral Zoo- Terapeutica de America Latina, A.C.","Un plato saludable de la escuela a la casa. Campana de educacion nutricional y habitos alimenticios saludables desde la primera infancia en el Jardin de ninos  Camara Junior  para familias, ninos y ninas, sus docentes y comunidad escolar.",Ciudad de Mexico,160000
10,"Cruz Roja Mexicana, I.A.P. Delegacion Durango","Establecer un banco de medicamentos que brinde la oportunidad de mejorar la calidad de vida de ninos menores, adultos mayores y personas con capacidades diferentes.",Durango,135000
11,"Dispensario San Antonio, A.B.P.",Salud mental recuperada.,Monterrey ,125000
12,"Ednica, I.A.P.",Mas vale prevenir que bautizar… Prevencion de embarazos en adolescentes y jovenes en situacion de calle.,Ciudad de Mexico,100000
13,"Educate Yucatan, A.C.",Proyecto para fortalecer las habilidades sociales y emocionales de estudiantes de secundaria: Construyo mi futuro.,Yucatan ,71600
14,"Esperanza para la Familia, A.C.


",Familias saludables.,Monterrey ,100000
15,"Fundacion Borquez Schwarzbeck Almada, A.C.","Embarazo, un riesgo para la vida de los adolescentes.",Sonora ,76150
16,Fundacion Gist Mexico A.B.P.,Capacitacion para estudiantes de medicina en el diagnostico oportuno de tumores de estroma gastrointestinal (GIST).,Monterrey ,100000
17,"Fundacion Internacional de la Comunidad, A.C.","Tratamiento laser argon para adultos mayores de escasos recursos con retinopatia diabetica del Municipio de Chihuahua, Chihuahua.",Chihuahua,112000
18,"Fundacion Lattuada del Insuficiente Renal, I.A.P.",Apoyos que dan vida.,Queretaro,250000
19,"Fundacion Mexicana Tato para la Investigacion y Tratamiento del Autismo y otros Trastornos Del Desarrollo, I.A.P.","Compra de equipo medico y mobiliario para el diagnostico, tratamiento y seguimiento del trastorno del espectro autista y trastornos del desarrollo, asi como la adecuacion del area medica de la Institucion.",Colima ,185030
20,"Fundacion Pilar de Esperanza, I.A.P",Di si a la deteccion para la prevencion de la diabetes.,Sinaloa,181750
21,"Fundacion Samuel, A.C.",Enriquecer la rehabilitacion de pacientes con discapacidad ayudados de nuevas herramientas tecnologicas y de uso diario.,Ciudad de Mexico,70000
22,"Instituto Alteno para el Desarrollo de Jalisco, A.C.",Nutricion integral y sustentable.,Guadalajara ,170897
23,"Medicina y Asistencia Social, A.C.","Mejor vision para la montana de Guerrero, programa visual de prevencion, deteccion, diagnostico y atencion quirurgica.",Ciudad de Mexico,220000
24,"Mexico en la Piel, A.C.",Adquisicion y donacion de aparatos auditivos para personas con discapacidad auditiva de escasos recursos.,Estado de Mexico ,140000
25,"Pasitos Pre Escolar Especial, A.C.",Programa de capacitacion pasitos extramuros.,Baja California ,135000
26,"Prevenvida Fundacion, A.C.",Los valores en la educacion: tecnicas para prevenir la violencia escolar  bullying .,Ciudad de Mexico,100000
27,"Servicios de Bienestar en Salud (Ser Bien), I.A.P.","Educacion para la obesidad y diabetes, mejorando el auto-cuidado y calidad de vida de personas que viven con diabetes tipo 2, a traves de un mejor acceso a la educacion y la deteccion precoz de la enfermedad en el area metropolitana de la Ciudad de Mexico.",Ciudad de Mexico,128000
28,"Un Nuevo Amanecer en Pro del Discapacitado, A.C.","Atencion temprana en el CAI Nuevo amanecer: Un compromiso permanente con la poblacion infantil que presenta factor de alto riesgo, para prevenir o minimizar trastornos en el desarrollo y/o discapacidad.",Oaxaca,150000
29,"Unidad de Rehabilitacion Visual Integral, A.C.",Campanas de deteccion de discapacidad visual en Organizaciones de la Sociedad Civil que atienden a ninos y jovenes con discapacidad multiple y continuidad del programa de atencion integral de personas con debilidad visual de la Zona Metropolitana de Guadalajara.,Guadalajara ,177750
30,"Vida en Abundancia de Mexico, A.C.

","Prevenir y atender el desarrollo de adicciones y conductas antisociales entre un grupo de ninos y adolescentes en riesgo de la zona oeste de la ciudad de Xalapa, Ver.",Veracruz,196430
31,"Violet Unidad Medico Dental, A.C.",Programa permanente de protesis dentales para adultos mayores en el Estado de Jalisco.,Guadalajara ,100000
32,"Asociacion de beneficencia privada de Colima, I.A.P.",Implementar un programa de salud enfocado principalmente a la prevencion de la salud de los ancianos.,Colima ,120000
33,"Asociacion multidisciplinaria para el mejoramiento de las funciones y capacidades del cerebro humano, A.C.",Mentes brillantes en construccion.,Ciudad de Mexico,198000
34,"Casa hogar mama Estefana, I.A.P.","Para los adultos mayores, asilo, alimentacion y recreacion.",Sonora ,138640
35,"Fundacion Hector Velez y de la Rosa, I.A.P.","Envejecimiento proactivo, responsable y digno. Programa de Capacitacion y Fortalecimiento de Habilidades para el Bien Vivir durante la Vejez.",Ciudad de Mexico,137000
36,"Infancia y senectud en plenitud, A.C.",Promocion de una apropiada alimentacion y habitos saludables para una buena vida. Atencion integral para localidades nahuas de la region de la Montana Alta de Guerrero.,Guerrero,125000
37,"Herramientas de la experiencia, A.C.",Programa de apoyo para un envejecimiento digno y saludable con preparacion en acciones para una mejor calidad de vida en poblacion vulnerable carente de seguridad social .,Ciudad de Mexico,130000
